"match","date","team_1","team_2","season","venue","toss_winner","toss_decision","is_superover","is_result","is_duckworthlewis","win_type","won_by","winner","mom","first_umpire","second_empire","city","host_country"
"363","30-Apr-13","Pune Warriors","Chennai Super Kings","6","Subrata Roy Sahara Stadium","Chennai Super Kings","bat","0","1","0","by runs","37","Chennai Super Kings","MS Dhoni","S Das","SJA Taufel","Pune","India"
"364","1-May-13","Sunrisers Hyderabad","Mumbai Indians","6","Rajiv Gandhi International Stadium, Uppal","Mumbai Indians","bat","0","1","0","by wickets","7","Sunrisers Hyderabad","I Sharma","Asad Rauf","S Asnani","Hyderabad","India"
"365","1-May-13","Delhi Daredevils","Kolkata Knight Riders","6","Shaheed Veer Narayan Singh International Stadium","Kolkata Knight Riders","bat","0","1","0","by wickets","7","Delhi Daredevils","DA Warner","HDPK Dharmasena","CK Nandan","Raipur","India"
"366","2-May-13","Chennai Super Kings","Kings XI Punjab","6","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","bat","0","1","0","by runs","15","Chennai Super Kings","SK Raina","M Erasmus","VA Kulkarni","Chennai","India"
"367","2-May-13","Pune Warriors","Royal Challengers Bangalore","6","Subrata Roy Sahara Stadium","Royal Challengers Bangalore","bat","0","1","0","by runs","17","Royal Challengers Bangalore","AB de Villiers","Aleem Dar","C Shamshuddin","Pune","India"
"368","3-May-13","Kolkata Knight Riders","Rajasthan Royals","6","Eden Gardens","Rajasthan Royals","bat","0","1","0","by wickets","8","Kolkata Knight Riders","YK Pathan","HDPK Dharmasena","CK Nandan","Kolkata","India"
"369","4-May-13","Sunrisers Hyderabad","Delhi Daredevils","6","Rajiv Gandhi International Stadium, Uppal","Delhi Daredevils","bat","0","1","0","by wickets","6","Sunrisers Hyderabad","DJG Sammy","Asad Rauf","S Asnani","Hyderabad","India"
"370","14-May-13","Royal Challengers Bangalore","Kings XI Punjab","6","M Chinnaswamy Stadium","Kings XI Punjab","field","0","1","0","by wickets","7","Kings XI Punjab","AC Gilchrist","HDPK Dharmasena","S Ravi","Bangalore","India"
"371","5-May-13","Mumbai Indians","Chennai Super Kings","6","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by runs","60","Mumbai Indians","MG Johnson","HDPK Dharmasena","CK Nandan","Mumbai","India"
"372","5-May-13","Rajasthan Royals","Pune Warriors","6","Sawai Mansingh Stadium","Pune Warriors","bat","0","1","0","by wickets","5","Rajasthan Royals","AM Rahane","C Shamshuddin","RJ Tucker","Jaipur","India"
"373","9-Apr-13","Royal Challengers Bangalore","Sunrisers Hyderabad","6","M Chinnaswamy Stadium","Sunrisers Hyderabad","bat","0","1","0","by wickets","7","Royal Challengers Bangalore","V Kohli","S Ravi","SJA Taufel","Bangalore","India"
"374","7-May-13","Rajasthan Royals","Delhi Daredevils","6","Sawai Mansingh Stadium","Delhi Daredevils","bat","0","1","0","by wickets","9","Rajasthan Royals","AM Rahane","Aleem Dar","RJ Tucker","Jaipur","India"
"375","7-May-13","Mumbai Indians","Kolkata Knight Riders","6","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by runs","65","Mumbai Indians","SR Tendulkar","HDPK Dharmasena","S Ravi","Mumbai","India"
"376","8-May-13","Sunrisers Hyderabad","Chennai Super Kings","6","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","field","0","1","0","by runs","77","Chennai Super Kings","SK Raina","S Das","NJ Llong","Hyderabad","India"
"377","9-May-13","Kings XI Punjab","Rajasthan Royals","6","Punjab Cricket Association Stadium, Mohali","Rajasthan Royals","field","0","1","0","by wickets","8","Rajasthan Royals","KK Cooper","HDPK Dharmasena","S Ravi","Chandigarh","India"
"378","9-May-13","Pune Warriors","Kolkata Knight Riders","6","Subrata Roy Sahara Stadium","Kolkata Knight Riders","bat","0","1","0","by runs","46","Kolkata Knight Riders","G Gambhir","Asad Rauf","S Asnani","Pune","India"
"379","10-May-13","Delhi Daredevils","Royal Challengers Bangalore","6","Feroz Shah Kotla","Delhi Daredevils","field","0","1","0","by runs","4","Royal Challengers Bangalore","JD Unadkat","NJ Llong","K Srinath","Delhi","India"
"380","11-May-13","Pune Warriors","Mumbai Indians","6","Subrata Roy Sahara Stadium","Pune Warriors","bat","0","1","0","by wickets","5","Mumbai Indians","MG Johnson","Asad Rauf","AK Chaudhary","Pune","India"
"381","11-May-13","Kings XI Punjab","Sunrisers Hyderabad","6","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","field","0","1","0","by runs","30","Sunrisers Hyderabad","PA Patel","S Das","RJ Tucker","Chandigarh","India"
"382","12-May-13","Kolkata Knight Riders","Royal Challengers Bangalore","6","JSCA International Stadium Complex","Kolkata Knight Riders","field","0","1","0","by wickets","5","Kolkata Knight Riders","JH Kallis","NJ Llong","K Srinath","Ranchi","India"
"383","12-May-13","Rajasthan Royals","Chennai Super Kings","6","Sawai Mansingh Stadium","Rajasthan Royals","field","0","1","0","by wickets","5","Rajasthan Royals","SR Watson","HDPK Dharmasena","CK Nandan","Jaipur","India"
"384","23-Apr-13","Delhi Daredevils","Kings XI Punjab","6","Feroz Shah Kotla","Kings XI Punjab","field","0","1","0","by wickets","5","Kings XI Punjab","Harmeet Singh","VA Kulkarni","K Srinath","Delhi","India"
"385","13-May-13","Mumbai Indians","Sunrisers Hyderabad","6","Wankhede Stadium","Sunrisers Hyderabad","bat","0","1","0","by wickets","7","Mumbai Indians","KA Pollard","AK Chaudhary","SJA Taufel","Mumbai","India"
"386","15-May-13","Kolkata Knight Riders","Pune Warriors","6","JSCA International Stadium Complex","Kolkata Knight Riders","field","0","1","0","by runs","7","Pune Warriors","MK Pandey","NJ Llong","K Srinath","Ranchi","India"
"387","14-May-13","Chennai Super Kings","Delhi Daredevils","6","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","bat","0","1","0","by runs","33","Chennai Super Kings","MS Dhoni","C Shamshuddin","RJ Tucker","Chennai","India"
"388","15-May-13","Mumbai Indians","Rajasthan Royals","6","Wankhede Stadium","Rajasthan Royals","field","0","1","0","by runs","14","Mumbai Indians","AP Tare","Asad Rauf","S Asnani","Mumbai","India"
"389","6-May-13","Kings XI Punjab","Royal Challengers Bangalore","6","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","field","0","1","0","by wickets","6","Kings XI Punjab","DA Miller","VA Kulkarni","NJ Llong","Chandigarh","India"
"390","17-May-13","Sunrisers Hyderabad","Rajasthan Royals","6","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","bat","0","1","0","by runs","23","Sunrisers Hyderabad","A Mishra","Asad Rauf","AK Chaudhary","Hyderabad","India"
"391","18-May-13","Kings XI Punjab","Mumbai Indians","6","Himachal Pradesh Cricket Association Stadium","Mumbai Indians","field","0","1","0","by runs","50","Kings XI Punjab","Azhar Mahmood","HDPK Dharmasena","CK Nandan","Dharamsala","India"
"392","19-May-13","Pune Warriors","Delhi Daredevils","6","Subrata Roy Sahara Stadium","Pune Warriors","bat","0","1","0","by runs","38","Pune Warriors","LJ Wright","NJ Llong","SJA Taufel","Pune","India"
"393","18-May-13","Royal Challengers Bangalore","Chennai Super Kings","6","M Chinnaswamy Stadium","Chennai Super Kings","field","0","1","0","by runs","24","Royal Challengers Bangalore","V Kohli","C Shamshuddin","RJ Tucker","Bangalore","India"
"394","19-May-13","Sunrisers Hyderabad","Kolkata Knight Riders","6","Rajiv Gandhi International Stadium, Uppal","Kolkata Knight Riders","bat","0","1","0","by wickets","5","Sunrisers Hyderabad","PA Patel","Asad Rauf","S Asnani","Hyderabad","India"
"395","21-May-13","Chennai Super Kings","Mumbai Indians","6","Feroz Shah Kotla","Chennai Super Kings","bat","0","1","0","by runs","48","Chennai Super Kings","MEK Hussey","NJ Llong","RJ Tucker","Delhi","India"
"396","22-May-13","Rajasthan Royals","Sunrisers Hyderabad","6","Feroz Shah Kotla","Sunrisers Hyderabad","bat","0","1","0","by wickets","4","Rajasthan Royals","BJ Hodge","S Ravi","RJ Tucker","Delhi","India"
"397","24-May-13","Mumbai Indians","Rajasthan Royals","6","Eden Gardens","Rajasthan Royals","bat","0","1","0","by wickets","4","Mumbai Indians","Harbhajan Singh","C Shamshuddin","SJA Taufel","Kolkata","India"
"398","26-May-13","Chennai Super Kings","Mumbai Indians","6","Eden Gardens","Mumbai Indians","bat","0","1","0","by runs","23","Mumbai Indians","KA Pollard","HDPK Dharmasena","SJA Taufel","Kolkata","India"
"399","16-Apr-14","Mumbai Indians","Kolkata Knight Riders","7","Sheikh Zayed Stadium","Kolkata Knight Riders","bat","0","1","0","by runs","41","Kolkata Knight Riders","JH Kallis","M Erasmus","RK Illingworth","Abu Dhabi","U.A.E"
"400","17-Apr-14","Delhi Daredevils","Royal Challengers Bangalore","7","Sharjah Cricket Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","8","Royal Challengers Bangalore","YS Chahal","Aleem Dar","S Ravi","Abu Dhabi","U.A.E"
"401","18-Apr-14","Chennai Super Kings","Kings XI Punjab","7","Sheikh Zayed Stadium","Chennai Super Kings","bat","0","1","0","by wickets","6","Kings XI Punjab","GJ Maxwell","RK Illingworth","C Shamshuddin","Abu Dhabi","U.A.E"
"402","18-Apr-14","Sunrisers Hyderabad","Rajasthan Royals","7","Sheikh Zayed Stadium","Rajasthan Royals","field","0","1","0","by wickets","4","Rajasthan Royals","AM Rahane","BF Bowden","RK Illingworth","Abu Dhabi","U.A.E"
"403","19-Apr-14","Royal Challengers Bangalore","Mumbai Indians","7","Dubai International Cricket Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","7","Royal Challengers Bangalore","PA Patel","Aleem Dar","AK Chaudhary","Abu Dhabi","U.A.E"
"404","19-Apr-14","Kolkata Knight Riders","Delhi Daredevils","7","Dubai International Cricket Stadium","Kolkata Knight Riders","bat","0","1","0","by wickets","4","Delhi Daredevils","JP Duminy","Aleem Dar","VA Kulkarni","Abu Dhabi","U.A.E"
"405","20-Apr-14","Rajasthan Royals","Kings XI Punjab","7","Sharjah Cricket Stadium","Kings XI Punjab","field","0","1","0","by wickets","7","Kings XI Punjab","GJ Maxwell","BF Bowden","M Erasmus","Abu Dhabi","U.A.E"
"406","21-Apr-14","Chennai Super Kings","Delhi Daredevils","7","Sheikh Zayed Stadium","Chennai Super Kings","bat","0","1","0","by runs","93","Chennai Super Kings","SK Raina","RK Illingworth","C Shamshuddin","Abu Dhabi","U.A.E"
"407","22-Apr-14","Kings XI Punjab","Sunrisers Hyderabad","7","Sharjah Cricket Stadium","Sunrisers Hyderabad","field","0","1","0","by runs","72","Kings XI Punjab","GJ Maxwell","M Erasmus","S Ravi","Abu Dhabi","U.A.E"
"408","23-Apr-14","Rajasthan Royals","Chennai Super Kings","7","Dubai International Cricket Stadium","Rajasthan Royals","field","0","1","0","by runs","7","Chennai Super Kings","RA Jadeja","HDPK Dharmasena","RK Illingworth","Abu Dhabi","U.A.E"
"409","24-Apr-14","Royal Challengers Bangalore","Kolkata Knight Riders","7","Sharjah Cricket Stadium","Royal Challengers Bangalore","field","0","1","0","by runs","2","Kolkata Knight Riders","CA Lynn","Aleem Dar","VA Kulkarni","Abu Dhabi","U.A.E"
"410","25-Apr-14","Sunrisers Hyderabad","Delhi Daredevils","7","Dubai International Cricket Stadium","Sunrisers Hyderabad","bat","0","1","0","by runs","4","Sunrisers Hyderabad","AJ Finch","M Erasmus","S Ravi","Abu Dhabi","U.A.E"
