"match","date","team_1","team_2","season","venue","toss_winner","toss_decision","is_superover","is_result","is_duckworthlewis","win_type","won_by","winner","mom","first_umpire","second_empire","city","host_country"
"539","26-Apr-16","Sunrisers Hyderabad","Rising Pune Supergiants","9","Rajiv Gandhi International Stadium, Uppal","Rising Pune Supergiants","field","0","1","1","by runs","34","Rising Pune Supergiants","AB Dinda","AY Dandekar","CK Nandan","Hyderabad","India"
"540","27-Apr-16","Delhi Daredevils","Gujarat Lions","9","Feroz Shah Kotla","Delhi Daredevils","field","0","1","0","by runs","1","Gujarat Lions","CH Morris","M Erasmus","S Ravi","Delhi","India"
"541","28-Apr-16","Mumbai Indians","Kolkata Knight Riders","9","Wankhede Stadium","Mumbai Indians","field","0","1","0","by wickets","6","Mumbai Indians","RG Sharma","Nitin Menon","RJ Tucker","Mumbai","India"
"542","29-Apr-16","Rising Pune Supergiants","Gujarat Lions","9","Maharashtra Cricket Association Stadium","Gujarat Lions","field","0","1","0","by wickets","3","Gujarat Lions","DR Smith","CB Gaffaney","BNJ Oxenford","Pune","India"
"543","30-Apr-16","Delhi Daredevils","Kolkata Knight Riders","9","Feroz Shah Kotla","Kolkata Knight Riders","field","0","1","0","by runs","27","Delhi Daredevils","CR Brathwaite","KN Ananthapadmanabhan","M Erasmus","Delhi","India"
"544","30-Apr-16","Sunrisers Hyderabad","Royal Challengers Bangalore","9","Rajiv Gandhi International Stadium, Uppal","Royal Challengers Bangalore","field","0","1","0","by runs","15","Sunrisers Hyderabad","DA Warner","AK Chaudhary","HDPK Dharmasena","Hyderabad","India"
"545","1-May-16","Gujarat Lions","Kings XI Punjab","9","Saurashtra Cricket Association Stadium","Gujarat Lions","field","0","1","0","by runs","23","Kings XI Punjab","AR Patel","BNJ Oxenford","VK Sharma","Rajkot","India"
"546","1-May-16","Rising Pune Supergiants","Mumbai Indians","9","Maharashtra Cricket Association Stadium","Mumbai Indians","field","0","1","0","by wickets","8","Mumbai Indians","RG Sharma","AY Dandekar","RJ Tucker","Pune","India"
"547","2-May-16","Royal Challengers Bangalore","Kolkata Knight Riders","9","M Chinnaswamy Stadium","Kolkata Knight Riders","field","0","1","0","by wickets","5","Kolkata Knight Riders","AD Russell","M Erasmus","S Ravi","Bangalore","India"
"548","3-May-16","Gujarat Lions","Delhi Daredevils","9","Saurashtra Cricket Association Stadium","Delhi Daredevils","field","0","1","0","by wickets","8","Delhi Daredevils","RR Pant","CB Gaffaney","BNJ Oxenford","Rajkot","India"
"549","4-May-16","Kolkata Knight Riders","Kings XI Punjab","9","Eden Gardens","Kings XI Punjab","field","0","1","0","by runs","7","Kolkata Knight Riders","AD Russell","AK Chaudhary","HDPK Dharmasena","Kolkata","India"
"550","5-May-16","Delhi Daredevils","Rising Pune Supergiants","9","Feroz Shah Kotla","Rising Pune Supergiants","field","0","1","0","by wickets","7","Rising Pune Supergiants","AM Rahane","C Shamshuddin","RJ Tucker","Delhi","India"
"551","6-May-16","Sunrisers Hyderabad","Gujarat Lions","9","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","field","0","1","0","by wickets","5","Sunrisers Hyderabad","B Kumar","M Erasmus","S Ravi","Hyderabad","India"
"552","7-May-16","Royal Challengers Bangalore","Rising Pune Supergiants","9","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","7","Royal Challengers Bangalore","V Kohli","CB Gaffaney","BNJ Oxenford","Bangalore","India"
"553","7-May-16","Kings XI Punjab","Delhi Daredevils","9","Punjab Cricket Association IS Bindra Stadium, Mohali","Delhi Daredevils","field","0","1","0","by runs","9","Kings XI Punjab","MP Stoinis","HDPK Dharmasena","CK Nandan","Chandigarh","India"
"554","8-May-16","Mumbai Indians","Sunrisers Hyderabad","9","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Mumbai Indians","field","0","1","0","by runs","85","Sunrisers Hyderabad","A Nehra","S Ravi","C Shamshuddin","Visakhapatnam","India"
"555","8-May-16","Kolkata Knight Riders","Gujarat Lions","9","Eden Gardens","Gujarat Lions","field","0","1","0","by wickets","5","Gujarat Lions","P Kumar","M Erasmus","RJ Tucker","Kolkata","India"
"556","9-May-16","Kings XI Punjab","Royal Challengers Bangalore","9","Punjab Cricket Association IS Bindra Stadium, Mohali","Kings XI Punjab","field","0","1","0","by runs","1","Royal Challengers Bangalore","SR Watson","AK Chaudhary","HDPK Dharmasena","Chandigarh","India"
"557","10-May-16","Rising Pune Supergiants","Sunrisers Hyderabad","9","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Sunrisers Hyderabad","bat","0","1","0","by runs","4","Sunrisers Hyderabad","A Zampa","CB Gaffaney","VK Sharma","Visakhapatnam","India"
"558","11-May-16","Royal Challengers Bangalore","Mumbai Indians","9","M Chinnaswamy Stadium","Mumbai Indians","field","0","1","0","by wickets","6","Mumbai Indians","KH Pandya","AY Dandekar","C Shamshuddin","Bangalore","India"
"559","12-May-16","Sunrisers Hyderabad","Delhi Daredevils","9","Rajiv Gandhi International Stadium, Uppal","Delhi Daredevils","field","0","1","0","by wickets","7","Delhi Daredevils","CH Morris","K Bharatan","M Erasmus","Hyderabad","India"
"560","13-May-16","Mumbai Indians","Kings XI Punjab","9","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Mumbai Indians","bat","0","1","0","by wickets","7","Kings XI Punjab","MP Stoinis","HDPK Dharmasena","CK Nandan","Visakhapatnam","India"
"561","14-May-16","Royal Challengers Bangalore","Gujarat Lions","9","M Chinnaswamy Stadium","Gujarat Lions","field","0","1","0","by runs","144","Royal Challengers Bangalore","AB de Villiers","AY Dandekar","VK Sharma","Bangalore","India"
"562","14-May-16","Kolkata Knight Riders","Rising Pune Supergiants","9","Eden Gardens","Rising Pune Supergiants","bat","0","1","1","by wickets","8","Kolkata Knight Riders","YK Pathan","A Nand Kishore","BNJ Oxenford","Kolkata","India"
"563","15-May-16","Kings XI Punjab","Sunrisers Hyderabad","9","Punjab Cricket Association IS Bindra Stadium, Mohali","Kings XI Punjab","bat","0","1","0","by wickets","7","Sunrisers Hyderabad","HM Amla","KN Ananthapadmanabhan","M Erasmus","Chandigarh","India"
"564","15-May-16","Mumbai Indians","Delhi Daredevils","9","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Delhi Daredevils","field","0","1","0","by runs","80","Mumbai Indians","KH Pandya","Nitin Menon","CK Nandan","Visakhapatnam","India"
"565","16-May-16","Kolkata Knight Riders","Royal Challengers Bangalore","9","Eden Gardens","Royal Challengers Bangalore","field","0","1","0","by wickets","9","Royal Challengers Bangalore","V Kohli","CB Gaffaney","A Nand Kishore","Kolkata","India"
"566","17-May-16","Rising Pune Supergiants","Delhi Daredevils","9","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Rising Pune Supergiants","field","0","1","1","by runs","19","Rising Pune Supergiants","AB Dinda","Nitin Menon","C Shamshuddin","Visakhapatnam","India"
"567","18-May-16","Royal Challengers Bangalore","Kings XI Punjab","9","M Chinnaswamy Stadium","Kings XI Punjab","field","0","1","1","by runs","82","Royal Challengers Bangalore","V Kohli","KN Ananthapadmanabhan","M Erasmus","Bangalore","India"
"568","19-May-16","Gujarat Lions","Kolkata Knight Riders","9","Green Park","Gujarat Lions","field","0","1","0","by wickets","6","Gujarat Lions","DR Smith","AK Chaudhary","CK Nandan","Kanpur","India"
"569","20-May-16","Delhi Daredevils","Sunrisers Hyderabad","9","Shaheed Veer Narayan Singh International Stadium","Delhi Daredevils","field","0","1","0","by wickets","6","Delhi Daredevils","KK Nair","A Nand Kishore","BNJ Oxenford","Raipur","India"
"570","21-May-16","Rising Pune Supergiants","Kings XI Punjab","9","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Kings XI Punjab","bat","0","1","0","by wickets","4","Rising Pune Supergiants","MS Dhoni","HDPK Dharmasena","Nitin Menon","Visakhapatnam","India"
"571","21-May-16","Gujarat Lions","Mumbai Indians","9","Green Park","Gujarat Lions","field","0","1","0","by wickets","6","Gujarat Lions","SK Raina","AK Chaudhary","CK Nandan","Kanpur","India"
"572","22-May-16","Kolkata Knight Riders","Sunrisers Hyderabad","9","Eden Gardens","Sunrisers Hyderabad","field","0","1","0","by runs","22","Kolkata Knight Riders","YK Pathan","KN Ananthapadmanabhan","M Erasmus","Kolkata","India"
"573","22-May-16","Delhi Daredevils","Royal Challengers Bangalore","9","Shaheed Veer Narayan Singh International Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","6","Royal Challengers Bangalore","V Kohli","A Nand Kishore","BNJ Oxenford","Raipur","India"
"574","24-May-16","Gujarat Lions","Royal Challengers Bangalore","9","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","4","Royal Challengers Bangalore","AB de Villiers","AK Chaudhary","HDPK Dharmasena","Bangalore","India"
"575","25-May-16","Sunrisers Hyderabad","Kolkata Knight Riders","9","Feroz Shah Kotla","Kolkata Knight Riders","field","0","1","0","by runs","22","Sunrisers Hyderabad","MC Henriques","M Erasmus","C Shamshuddin","Delhi","India"
"576","27-May-16","Gujarat Lions","Sunrisers Hyderabad","9","Feroz Shah Kotla","Sunrisers Hyderabad","field","0","1","0","by wickets","4","Sunrisers Hyderabad","DA Warner","M Erasmus","CK Nandan","Delhi","India"
"577","29-May-16","Royal Challengers Bangalore","Sunrisers Hyderabad","9","M Chinnaswamy Stadium","Sunrisers Hyderabad","bat","0","1","0","by runs","8","Sunrisers Hyderabad","BCJ Cutting","HDPK Dharmasena","BNJ Oxenford","Bangalore","India"
